GP Practice,GP Practice No,Question Number,"Questionnaire 
Section",Question Text,Number of Responses,% Positive,% Neutral,% Negative
Simpson Medical Group - Bathgate (78132),78132,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,92,17.01,27.42,55.57
Skene Medical Group - Aberdeen (32209),32209,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,111,22.35,30.81,46.84
Skerryvore Practice - Orkney (38012),38012,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,85,41.91,38.26,19.82
Slamannan Medical Practice - Stirlingshire (25474),25474,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,105,50.84,33.03,16.13
Slateford Medical Practice - Edinburgh (70997),70997,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,102,23.44,38.09,38.47
Small Isles Medical Practice - Isle of Eigg (55677),55677,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,31,48.26,26.03,25.71
Solway Medical Group - Kirkcudbright (18199),18199,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,93,55.19,14.58,30.22
South Beach Medical Centre - Ardrossan (80005),80005,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,83,13.58,25.71,60.7
South Harris Medical Practice - Isle Of Harris (90101),90101,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,87,91.21,8.79,0
South Queensferry Medical Practice - South Queensferry (78171),78171,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,121,31.47,29.2,39.33
South Skye Medical Practices - Isle of Skye (56523),56523,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,95,41,15.14,43.86
South Uist Medical Practice - Isle Of South Uist (90134),90134,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,74,72.78,17.75,9.47
Southern Machars Practice - Whithorn (18611),18611,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,88,46.52,30.74,22.74
Southfield Medical Practice - Edinburgh (70126),70126,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,78,53.31,18.08,28.61
Southside Road Surgery - Inverness (55874),55874,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,125,46,18.19,35.82
Springfield Medical Practice - Glasgow (43059),43059,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,78,34.2,32.75,33.05
Springwell Medical Group - Edinburgh (71082),71082,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,96,31.58,29.27,39.15
St Brycedale Surgery - Fife (20983),20983,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,79,22.49,23.86,53.65
St James Medical Centre - Paisley (87574),87574,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,83,38.66,37.35,23.99
St Leonard's Medical Centre - Edinburgh (70841),70841,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,75,29.06,32.13,38.81
St Luke's Medical Practice - Carluke (62223),62223,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,76,25.42,24.99,49.59
St Margaret's Health Centre - Auchterarder (10361),10361,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,99,31.92,38.95,29.13
St Michaels Medical Centre - Dumfries (18273),18273,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,85,57.71,28.09,14.21
St Ronan's Practice - Innerleithen (16121),16121,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,82,43.56,20.36,36.07
St Serf's Practice - Kinross (13481),13481,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,74,25.15,28.43,46.42
St Triduana's Medical Practice - Edinburgh (70785),70785,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,103,16.86,31.27,51.87
Stanley Medical Centre - Perthshire (14569),14569,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,91,45.26,28.43,26.31
Station Road Medical Practice - Prestwick (80537),80537,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,102,53.19,20.82,25.99
Stenhouse Practice - Stenhousemuir (25597),25597,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,78,44.81,22.52,32.67
Stepps Surgery - Stepps (60088),60088,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,87,49.54,31.98,18.48
Stevenston Group Practice - Stevenston (80701),80701,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,76,46.23,35.32,18.46
Stewarton Medical Practice - Stewarton (80594),80594,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,83,28.66,28.5,42.84
Stonehaven Medical Group - Stonehaven (32425),32425,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,84,19.32,22.42,58.26
Stow & Lauder Health - Stow (16550),16550,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,105,40.07,27.58,32.35
Strathcalder Practice - East Kilbride (61644),61644,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,97,38.23,28.19,33.58
Strathdon Medical Centre - Strathdon (31812),31812,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,79,78.07,17.38,4.55
Strathesk Medical Group - Bonnyrigg (77271),77271,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,76,18.3,21.39,60.3
Strathgryffe Medical Practice - Houston (87146),87146,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,86,28.33,21.59,50.09
Strathmore Surgery - Blairgowrie (10445),10445,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,80,26.87,41.05,32.08
Strathpeffer Medical Practice  - Ross & Cromarty (55412),55412,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,99,52.1,21.73,26.17
Stromness Surgery - Orkney (38027),38027,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,106,66.6,13.3,20.11
Summerside Medical Practice - Edinburgh (70747),70747,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,74,45.83,23.03,31.14
Taiglum Medical Practice - Drongan (80720),80720,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,84,40.96,26.82,32.22
Tain & District Med Group - Tain (55427),55427,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,83,36.76,19.83,43.41
Tain & Fearn Area Med Practice - Tain (55431),55431,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,93,41.07,24.24,34.69
Tam's Brig Surgery - Ayr (80058),80058,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,97,17.12,31.35,51.53
Tannahill Surgery - Paisley (87485),87485,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,72,49.29,24.06,26.66
Tanyard Medical Practice - Cumnock (80171),80171,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,73,31.23,33.34,35.42
Tarbert Medical Practice - Tarbert (84740),84740,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,119,75.65,15.4,8.95
Tay Court Surgery - Dundee (11058),11058,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,72,35.44,18.39,46.17
Taybank Medical Centre - Dundee (11128),11128,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,70,24.29,32.18,43.53
Taynuilt Medical Practice - Argyll (84191),84191,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,87,28.56,43.47,27.96
Tayview Medical Practice - Newport-On-Tay (21609),21609,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,108,21.27,29.29,49.44
Templehill Surgery - Troon (80607),80607,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,96,31.68,31.5,36.82
Terra Nova Medical Practice LLP - Dundee (11650),11650,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,102,43.31,25.67,31.02
Teviot Medical Practice - Hawick (16545),16545,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,69,42.33,27.06,30.61
The Abbey Practice - Arbroath (10233),10233,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,87,33.01,37.7,29.29
The Avon Medical Practice - Larkhall (63616),63616,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,100,15.98,27.9,56.12
The Barony Medical Centre - Glasgow (43133),43133,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,98,46.4,26.27,27.34
The Barony Practice - Paisley (87606),87606,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,111,36.1,28.83,35.07
The Blue Practice - Crieff (10017),10017,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,85,31.83,23.7,44.47
The Broomhill Practice - Glasgow (40121),40121,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,111,35.67,22.03,42.29
The Bute Practice - Rothesay (84646),84646,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,98,47.01,19.78,33.21
The Cairns Practice - Glasgow (46081),46081,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,98,27.24,30.94,41.82
The Cairntoul Practice - Glasgow (40493),40493,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,84,47.92,25.67,26.41
